month,division,line,period,num_passengers,additional train time
2015-12,A DIVISION,4,offpeak,6478187.8,1.64
2015-12,A DIVISION,3,offpeak,4198320.4,1.17
2015-12,A DIVISION,3,peak,4646427.5,1.32
2015-12,A DIVISION,4,peak,7304764.4,2.03
2015-12,A DIVISION,S 42nd,peak,2037960.6,0.47
2015-12,A DIVISION,S 42nd,offpeak,1423921.8,0.43
2015-12,A DIVISION,5,peak,5440248.5,2.44
2015-12,A DIVISION,1,peak,7653504.5,1.10
2015-12,A DIVISION,6,peak,10239923.1,1.59
2015-12,A DIVISION,2,offpeak,5393833.4,1.75
2015-12,A DIVISION,6,offpeak,9060717.0,1.07
2015-12,A DIVISION,7,peak,5708251.5,1.71
2015-12,A DIVISION,2,peak,6160713.7,1.73
2015-12,A DIVISION,5,offpeak,4377829.4,1.92
2016-01,A DIVISION,7,offpeak,4073720.2,1.29
2016-01,A DIVISION,5,peak,4131877.4,2.75
2016-01,A DIVISION,1,peak,5237592.8,1.07
2016-01,A DIVISION,3,offpeak,3281652.7,1.23
2016-01,A DIVISION,7,peak,4388939.3,2.33
2016-01,A DIVISION,6,peak,7096461.3,1.85
2016-01,A DIVISION,2,offpeak,4165621.8,1.71
2016-01,A DIVISION,6,offpeak,6871188.7,1.03
2016-01,A DIVISION,S 42nd,offpeak,1153769.3,0.41
2016-01,A DIVISION,1,offpeak,5394953.1,0.94
2016-01,A DIVISION,4,peak,5169507.3,2.44
2016-01,A DIVISION,S 42nd,peak,1535860.1,0.47
2016-01,A DIVISION,2,peak,4383468.7,1.71
2016-01,A DIVISION,3,peak,3306537.6,1.34
2016-01,A DIVISION,5,offpeak,3569028.9,1.99
2016-01,A DIVISION,4,offpeak,5038054.6,1.77
2016-02,A DIVISION,S 42nd,peak,1765616.8,0.47
2016-02,A DIVISION,6,peak,8629027.4,2.20
2016-02,A DIVISION,2,offpeak,4927231.2,1.73
2016-02,A DIVISION,7,peak,5157412.0,2.11
2016-02,A DIVISION,1,offpeak,6370982.8,0.95
2016-02,A DIVISION,3,offpeak,3926693.3,1.14
2016-02,A DIVISION,6,offpeak,8021002.0,1.28
2016-02,A DIVISION,4,offpeak,5820631.7,1.79
2016-02,A DIVISION,7,offpeak,4749746.0,1.48
2016-02,A DIVISION,3,peak,4006253.4,1.36
2016-02,A DIVISION,1,peak,6370781.4,1.10
2016-02,A DIVISION,2,peak,5234067.2,1.82
2016-02,A DIVISION,5,offpeak,4098484.3,2.10
2016-02,A DIVISION,S 42nd,offpeak,1248982.1,0.41
