month,division,line,num_sched_trains,num_actual_trains,service delivered
2018-01,B DIVISION,R,2178,2042,0.9376
2018-01,A DIVISION,4,3124,2672,0.8553
2018-01,A DIVISION,1,1823,1752,0.9611
2018-01,B DIVISION,A,2814,2565,0.9115
2018-01,B DIVISION,F,3144,3019,0.9602
2018-01,B DIVISION,G,968,983,1.0155
2018-01,B DIVISION,Q,2288,2100,0.9178
2018-01,B DIVISION,S Rock,484,434,0.8967
2018-01,A DIVISION,7,2838,2508,0.8837
2018-01,A DIVISION,6,2178,1905,0.8747
2018-02,A DIVISION,2,2094,1913,0.9136
2018-02,B DIVISION,N,1710,1598,0.9345
2018-02,B DIVISION,G,836,858,1.0263
2018-02,A DIVISION,6,1879,1711,0.9106
2018-02,B DIVISION,Q,1976,1874,0.9484
2018-02,A DIVISION,S 42nd,2774,2747,0.9903
2018-02,A DIVISION,1,1571,1535,0.9771
2018-02,B DIVISION,S Rock,418,422,1.0096
2018-02,B DIVISION,L,1824,1746,0.9572
2018-02,B DIVISION,C,1425,1345,0.9439
2018-02,B DIVISION,E,1482,1361,0.9184
2018-02,B DIVISION,W,740,662,0.8946
2018-02,B DIVISION,JZ,969,946,0.9763
2018-02,B DIVISION,R,1881,1770,0.941
2018-02,A DIVISION,5,2375,2107,0.8872
2018-02,B DIVISION,F,2718,2591,0.9533
2018-02,B DIVISION,A,2432,2302,0.9465
2018-02,B DIVISION,D,1710,1664,0.9731
2018-02,B DIVISION,M,1558,1436,0.9217
2018-02,B DIVISION,S Fkln,684,682,0.9971
2018-02,B DIVISION,B,1596,1521,0.953
2018-02,A DIVISION,7,2437,2219,0.9105
2018-02,A DIVISION,3,1938,1806,0.9319
2018-02,A DIVISION,4,2697,2429,0.9006
2018-03,B DIVISION,JZ,1122,1095,0.9759
2018-03,B DIVISION,D,1980,1950,0.9848
2018-03,B DIVISION,S Fkln,756,754,0.9974
2018-03,A DIVISION,3,2228,2100,0.9425
2018-03,B DIVISION,L,2112,2007,0.9503
2018-03,A DIVISION,4,3122,2728,0.8738
2018-03,B DIVISION,E,1716,1593,0.9283
2018-03,B DIVISION,C,1653,1605,0.971
2018-03,B DIVISION,W,858,799,0.9312
2018-03,B DIVISION,S Rock,472,470,0.9958
2018-03,B DIVISION,N,1977,1876,0.9489
2018-03,B DIVISION,B,1848,1819,0.9843
2018-03,B DIVISION,A,2807,2706,0.964
2018-03,B DIVISION,R,2160,2070,0.9583
2018-03,A DIVISION,7,2810,2480,0.8826
2018-03,A DIVISION,6,2180,1916,0.8789
2018-03,A DIVISION,1,1826,1790,0.9803
2018-03,B DIVISION,F,3147,3041,0.9663
2018-03,B DIVISION,M,1804,1719,0.9529
2018-03,A DIVISION,2,2413,2238,0.9275
2018-03,A DIVISION,S 42nd,2920,2891,0.9901
2018-03,B DIVISION,G,968,972,1.0041
2018-03,A DIVISION,5,2760,2383,0.8634
2018-03,B DIVISION,Q,2288,2189,0.9567
2018-04,B DIVISION,G,924,923,0.9989
2018-04,A DIVISION,6,2104,1963,0.933
2018-04,B DIVISION,A,2686,2553,0.9505
2018-04,B DIVISION,L,2016,1973,0.9787
2018-04,A DIVISION,S 42nd,2774,2755,0.9932
2018-04,B DIVISION,B,1764,1736,0.9841
2018-04,B DIVISION,D,1890,1863,0.9857
2018-04,A DIVISION,1,1743,1703,0.9771
2018-04,B DIVISION,E,1638,1501,0.9164
2018-04,A DIVISION,2,2310,2115,0.9156
2018-04,B DIVISION,M,1731,1613,0.9318
2018-04,A DIVISION,7,2709,2376,0.8771
2018-04,B DIVISION,N,1891,1808,0.9561
2018-04,A DIVISION,5,2667,2363,0.886
2018-04,B DIVISION,W,819,779,0.9512
2018-04,B DIVISION,C,1575,1487,0.9441
2018-04,B DIVISION,F,3002,2895,0.9644
2018-04,B DIVISION,JZ,1071,1044,0.9748
2018-04,A DIVISION,3,2142,2025,0.9454
2018-04,B DIVISION,Q,2184,2084,0.9542
2018-04,B DIVISION,S Rock,366,368,1.0055
2018-04,A DIVISION,4,2982,2694,0.9034
2018-04,B DIVISION,S Fkln,756,754,0.9974
2018-04,B DIVISION,R,2069,1981,0.9575
2018-05,B DIVISION,W,858,803,0.9359
2018-05,B DIVISION,M,2002,1870,0.9341
2018-05,B DIVISION,S Fkln,792,783,0.9886
2018-05,B DIVISION,D,1980,1911,0.9652
2018-05,A DIVISION,3,2244,2127,0.9479
2018-05,A DIVISION,4,3118,2822,0.9051
2018-05,B DIVISION,A,2816,2713,0.9634
2018-05,A DIVISION,7,2838,2538,0.8943
2018-05,A DIVISION,S 42nd,3212,3192,0.9938
2018-05,A DIVISION,2,2420,2252,0.9306
2018-05,B DIVISION,L,2016,1978,0.9812
2018-05,B DIVISION,G,968,1005,1.0382
2018-05,A DIVISION,1,1826,1771,0.9699
2018-05,B DIVISION,Q,2288,2163,0.9454
2018-05,B DIVISION,R,2178,2074,0.9522
2018-05,B DIVISION,N,1980,1873,0.946
2018-05,A DIVISION,5,2794,2484,0.889
2018-05,B DIVISION,B,1848,1805,0.9767
2018-05,B DIVISION,F,3142,3046,0.9694
2018-05,B DIVISION,E,1716,1577,0.919
2018-05,A DIVISION,6,2222,2035,0.9158
2018-05,B DIVISION,C,1650,1599,0.9691
2018-05,B DIVISION,JZ,1122,1100,0.9804
2018-05,B DIVISION,S Rock,400,401,1.0025
2018-06,B DIVISION,W,819,742,0.906
2018-06,B DIVISION,A,2688,2565,0.9542
2018-06,A DIVISION,S 42nd,2920,2915,0.9983
2018-06,B DIVISION,S Fkln,756,754,0.9974
2018-06,A DIVISION,7,2701,2405,0.8904
2018-06,B DIVISION,B,1764,1723,0.9768
2018-06,B DIVISION,F,3001,2975,0.9913
2018-06,A DIVISION,2,2310,2191,0.9485
2018-06,B DIVISION,C,1575,1547,0.9822
2018-06,A DIVISION,4,2973,2700,0.9082
2018-06,A DIVISION,1,1743,1722,0.988
2018-06,B DIVISION,Q,2179,2084,0.9564
2018-06,B DIVISION,M,1911,1804,0.944
2018-06,B DIVISION,D,1890,1855,0.9815
2018-06,B DIVISION,R,2079,1988,0.9562
2018-06,B DIVISION,L,2016,1975,0.9797
2018-06,A DIVISION,3,2142,2053,0.9585
2018-06,B DIVISION,JZ,1071,1051,0.9813
2018-06,B DIVISION,E,1638,1560,0.9524
2018-06,A DIVISION,5,2667,2438,0.9141
2018-06,A DIVISION,6,2119,1962,0.9259
2018-06,B DIVISION,N,1890,1808,0.9566
2018-06,B DIVISION,G,924,936,1.013
2018-06,B DIVISION,S Rock,462,466,1.0087
2018-07,B DIVISION,C,1575,1524,0.9676
2018-07,B DIVISION,D,1890,1828,0.9672
2018-07,B DIVISION,F,3002,2905,0.9677
2018-07,A DIVISION,6,2121,1957,0.9227
2018-07,A DIVISION,3,2142,2022,0.944
2018-07,A DIVISION,S 42nd,2920,2902,0.9938
2018-07,B DIVISION,R,2079,1966,0.9456
2018-07,B DIVISION,S Rock,462,459,0.9935
2018-07,A DIVISION,1,1743,1703,0.9771
2018-07,B DIVISION,JZ,1071,1042,0.9729
2018-07,B DIVISION,Q,2163,2107,0.9741
2018-07,A DIVISION,5,2667,2405,0.9018
2018-07,B DIVISION,E,1638,1506,0.9194
2018-07,B DIVISION,L,2016,1953,0.9688
2018-07,B DIVISION,S Fkln,756,757,1.0013
2018-07,B DIVISION,N,1890,1793,0.9487
2018-07,B DIVISION,B,1764,1733,0.9824
2018-07,A DIVISION,4,2961,2714,0.9166
2018-07,B DIVISION,W,819,770,0.9402
2018-07,A DIVISION,7,2673,2421,0.9057
2018-07,B DIVISION,G,924,945,1.0227
2018-07,A DIVISION,2,2309,2140,0.9268
2018-07,B DIVISION,M,1911,1767,0.9246
2018-07,B DIVISION,A,2562,2465,0.9621
2018-08,A DIVISION,7,2944,2636,0.8954
2018-08,B DIVISION,W,897,852,0.9498
2018-08,B DIVISION,G,1012,1033,1.0208
2018-08,B DIVISION,L,2208,2177,0.986
2018-08,B DIVISION,C,1725,1656,0.96
2018-08,B DIVISION,D,2070,2016,0.9739
2018-08,B DIVISION,JZ,1173,1148,0.9787
2018-08,A DIVISION,6,2323,2157,0.9285
2018-08,A DIVISION,5,2627,2448,0.9319
2018-08,B DIVISION,S Fkln,828,813,0.9819
2018-08,A DIVISION,4,3243,3033,0.9352
2018-08,B DIVISION,Q,2369,2279,0.962
2018-08,B DIVISION,F,3312,3233,0.9761
2018-08,A DIVISION,S 42nd,3358,3328,0.9911
2018-08,A DIVISION,1,1909,1860,0.9743
2018-08,B DIVISION,E,1794,1680,0.9365
2018-08,B DIVISION,B,1932,1885,0.9757
2018-08,B DIVISION,M,2093,1959,0.936
2018-08,B DIVISION,A,2804,2666,0.9508
2018-08,B DIVISION,N,2070,1973,0.9531
2018-08,B DIVISION,R,2277,2188,0.9609
2018-08,A DIVISION,3,2346,2270,0.9676
2018-08,A DIVISION,2,2266,2198,0.97
2018-08,B DIVISION,S Rock,484,481,0.9938
2018-09,B DIVISION,S Rock,418,418,1
2018-09,B DIVISION,G,836,857,1.0251
2018-09,B DIVISION,D,1710,1645,0.962
2018-09,A DIVISION,4,2679,2481,0.9261
2018-09,A DIVISION,1,1577,1525,0.967
2018-09,B DIVISION,A,2432,2325,0.956
2018-09,B DIVISION,C,1425,1380,0.9684
2018-09,B DIVISION,R,1881,1787,0.95
2018-09,A DIVISION,6,1936,1826,0.9432
2018-09,B DIVISION,F,2696,2615,0.97
2018-09,A DIVISION,3,1938,1857,0.9582
2018-09,B DIVISION,E,1482,1384,0.9339
2018-09,B DIVISION,W,741,698,0.942
2018-09,A DIVISION,2,2090,2010,0.9617
2018-09,B DIVISION,M,1684,1573,0.9341
2018-09,B DIVISION,S Fkln,611,605,0.9902
2018-09,B DIVISION,JZ,918,895,0.9749
2018-09,B DIVISION,L,1824,1795,0.9841
2018-09,B DIVISION,Q,1854,1787,0.9639
2018-09,A DIVISION,7,2431,2260,0.9297
2018-09,A DIVISION,S 42nd,2774,2747,0.9903
2018-09,A DIVISION,5,2413,2192,0.9084
2018-09,B DIVISION,B,1596,1564,0.9799
2018-09,B DIVISION,N,1695,1649,0.9729
2018-10,B DIVISION,L,2208,2140,0.9692
2018-10,B DIVISION,C,1725,1667,0.9664
2018-10,B DIVISION,Q,2369,2246,0.9481
2018-10,A DIVISION,4,3243,2992,0.9226
2018-10,B DIVISION,D,2070,2008,0.97
2018-10,A DIVISION,5,2921,2653,0.9083
2018-10,B DIVISION,F,3311,3244,0.9798
2018-10,A DIVISION,7,2944,2700,0.9171
2018-10,B DIVISION,R,2277,2189,0.9614
2018-10,B DIVISION,A,2944,2813,0.9555
2018-10,B DIVISION,W,897,828,0.9231
2018-10,B DIVISION,M,2093,1941,0.9274
2018-10,A DIVISION,1,1909,1863,0.9759
2018-10,A DIVISION,3,2346,2271,0.968
2018-10,B DIVISION,E,1794,1713,0.9548
2018-10,A DIVISION,S 42nd,2920,2894,0.9911
2018-10,B DIVISION,N,2070,1969,0.9512
2018-10,B DIVISION,S Fkln,828,826,0.9976
2018-10,A DIVISION,2,2530,2432,0.9613
2018-10,A DIVISION,6,2367,2227,0.9409
2018-10,B DIVISION,S Rock,506,499,0.9862
2018-10,B DIVISION,JZ,1173,1142,0.9736
2018-10,B DIVISION,B,1932,1875,0.9705
2018-10,B DIVISION,G,1012,1023,1.0109
2018-11,B DIVISION,S Fkln,751,739,0.984
2018-11,A DIVISION,3,2142,2057,0.9603
2018-11,B DIVISION,R,2079,1956,0.9408
2018-11,B DIVISION,B,1764,1720,0.9751
2018-11,B DIVISION,C,1575,1508,0.9575
2018-11,A DIVISION,1,1743,1690,0.9696
2018-11,A DIVISION,4,2961,2746,0.9274
2018-11,B DIVISION,Q,2168,2011,0.9276
2018-11,B DIVISION,S Rock,462,451,0.9762
2018-11,A DIVISION,7,2688,2400,0.8929
2018-11,A DIVISION,2,2310,2183,0.945
2018-11,B DIVISION,W,819,773,0.9438
2018-11,B DIVISION,M,1911,1756,0.9189
2018-11,A DIVISION,S 42nd,3066,3041,0.9918
2018-11,B DIVISION,D,1909,1869,0.979
2018-11,B DIVISION,JZ,1071,1029,0.9608
2018-11,B DIVISION,L,2016,1986,0.9851
2018-11,B DIVISION,F,3024,2897,0.958
2018-11,A DIVISION,6,2159,2022,0.9365
2018-11,B DIVISION,E,1638,1549,0.9457
